vraie_espece,couv_std,n_obs,groupe,couv_pas,diff
8729,1.0,18,Rare,1.0,0.0
8731,1.0,1,Rare,1.0,0.0
8836,1.0,14,Commun,1.0,0.0
8901,1.0,2,Rare,1.0,0.0
8904,1.0,3,Rare,1.0,0.0
8939,0.875,8,Rare,0.875,0.0
8952,1.0,2,Rare,1.0,0.0
8985,0.0,1,Rare,0.0,0.0
9002,1.0,5,Rare,1.0,0.0
9025,1.0,13,Commun,1.0,0.0
9051,1.0,3,Rare,1.0,0.0
9062,1.0,2,Rare,1.0,0.0
9066,1.0,9,Commun,1.0,0.0
9073,1.0,1,Rare,1.0,0.0
9074,1.0,1,Rare,1.0,0.0
9085,1.0,7,Rare,1.0,0.0
9087,1.0,1,Rare,1.0,0.0
9088,1.0,15,Rare,1.0,0.0
9096,1.0,10,Rare,1.0,0.0
9102,1.0,5,Rare,1.0,0.0
9104,1.0,1,Rare,1.0,0.0
9109,1.0,2,Rare,1.0,0.0
9113,1.0,8,Commun,1.0,0.0
9129,1.0,1,Rare,1.0,0.0
9152,1.0,2,Rare,1.0,0.0
9153,1.0,4,Rare,1.0,0.0
9251,0.6666666666666666,3,Rare,0.6666666666666666,0.0
9258,1.0,2,Commun,1.0,0.0
9300,1.0,6,Rare,1.0,0.0
9304,1.0,12,Commun,1.0,0.0
9362,1.0,1,Rare,1.0,0.0
9367,1.0,1,Rare,1.0,0.0
9375,1.0,1,Rare,1.0,0.0
9384,1.0,2,Rare,1.0,0.0
9387,1.0,5,Rare,1.0,0.0
9388,1.0,1,Rare,1.0,0.0
9390,1.0,1,Rare,1.0,0.0
9404,1.0,3,Rare,1.0,0.0
9407,1.0,25,Commun,1.0,0.0
9409,1.0,2,Rare,1.0,0.0
9410,1.0,3,Rare,1.0,0.0
9438,1.0,3,Rare,1.0,0.0
9445,1.0,2,Rare,1.0,0.0
9446,1.0,4,Rare,1.0,0.0
9456,1.0,3,Rare,1.0,0.0
9457,1.0,1,Rare,1.0,0.0
9458,1.0,4,Rare,1.0,0.0
9460,1.0,1,Rare,1.0,0.0
9462,1.0,1,Rare,1.0,0.0
9553,1.0,1,Rare,1.0,0.0
9569,1.0,1,Rare,1.0,0.0
9572,1.0,1,Rare,1.0,0.0
9601,1.0,1,Rare,1.0,0.0
9678,1.0,1,Rare,1.0,0.0
9688,0.0,1,Rare,0.0,0.0
9699,1.0,2,Rare,1.0,0.0
9705,1.0,13,Rare,1.0,0.0
9739,1.0,1,Rare,1.0,0.0
9742,1.0,1,Rare,1.0,0.0
9743,1.0,1,Rare,1.0,0.0
9753,1.0,1,Rare,1.0,0.0
9799,1.0,1,Rare,1.0,0.0
9803,1.0,1,Rare,1.0,0.0
9827,0.0,1,Rare,0.0,0.0
9828,1.0,14,Rare,1.0,0.0
